Item code,Item Category,Item Name,Measurement Unit,Price
1,Service,"Operation and maintenance of the HVAC at Tiger's Den-
-Central Air Conditioning System for Tiger' Den,
-Complete Servicing
-Operating and monitoring of AHU-17 Sets, Chilled Water Pump-04 Sets, Fans, Related Panel Boards, BMS System, auto control system
--24/7 Operational team shall have available as a minimum 1 Engineer( five years experienced in BMS, chillers O&M)-  8:00 AM to 8:00 PM, 1 Technician (five years experienced in BMS, chillers O&M) – 8:00  AM to 9:00  PM, 1 Technician (five years experienced in BMS, chillers O&M) – 9:00  PM to 8:00 AM
-Record operational data and share report.",Month,"150,000.00"
2,Piping Works ,"Pipe dia : 300mm, Sch-40",RFT,"2,450.00"
3,Piping Works ,"Pipe dia : 200mm, Sch-40",RFT,"2,200.00"
4,Piping Works ,"Pipe dia : 150mm, Sch-40",RFT,"2,000.00"
5,Piping Works ,"Pipe dia : 100mm, Sch-40",RFT,"1,850.00"
6,Piping Works ,"Pipe dia : 80mm, Sch-40",RFT,"1,400.00"
7,Piping Works ,"Pipe dia : 65mm, Sch-40",RFT,"1,200.00"
8,Piping Works ,"Pipe dia : 50mm, Sch-40",RFT,"1,400.00"
9,Piping Works ,"Pipe dia : 40mm, Sch-40",RFT,"1,280.00"
10,Piping Works ,"Pipe dia : 32mm, Sch-40",RFT,"1,080.00"
11,Piping Works ,"Pipe dia : 25mm, Sch-40",RFT,960.00
12,Piping Works ,"Pipe dia : 20mm, Sch-40",RFT,800.00
13,Bare Pipe,MS Pipe dia : 150mm,RFT,"1,550.00"
14,Bare Pipe,MS Pipe dia : 100mm,RFT,"1,150.00"
15,Bare Pipe,MS Pipe dia : 80mm,RFT,990.00
16,Bare Pipe,MS Pipe dia : 65mm,RFT,470.00
17,Bare Pipe,MS Pipe dia : 50mm,RFT,410.00
18,Bare Pipe,MS Pipe dia : 40mm,RFT,315.00
19,Bare Pipe,MS Pipe dia : 32mm,RFT,365.00
20,Bare Pipe,Ms Pipe dia : 25mm,RFT,195.00
21,Bare Pipe,Ms Pipe dia : 20mm,RFT,130.00
22,Chemicals,Isocynate,Ltr,550.00
23,Chemicals,Polyol,Ltr,800.00
24,Condenser Water Pipe,Pipe dia : 500mm,RFT,"2,900.00"
25,Condenser Water Pipe,Pipe dia : 300mm,RFT,"2,300.00"
26,Condenser Water Pipe,Pipe dia : 250mm,RFT,"1,900.00"
27,Condenser Water Pipe,Pipe dia : 200mm,RFT,"1,700.00"
28,Condensate Drain Pipe,Pipe dia : 32mm,RFT,70.00
29,Condensate Drain Pipe,Pipe dia : 25mm,RFT,65.00
30,Condensate Drain Pipe,Pipe dia : 20mm,RFT,39.00
31,Ball Valve (UL Listed),50mm dia,Nos,"1,470.00"
32,Ball Valve (UL Listed),32mm dia,Nos,"1,100.00"
33,Ball Valve (UL Listed),25mm dia,Nos,950.00
34,Ball Valve (UL Listed),20mm dia,Nos,575.00
35,Gate Valve (BL Listed),300mm dia,Nos,"24,000.00"
36,Gate Valve (BL Listed),150mm dia,Nos,"22,500.00"
37,Gate Valve (BL Listed),100mm dia,Nos,"14,000.00"
38,Gate Valve (BL Listed),50mm dia,Nos,"1,480.00"
39,Gate Valve (BL Listed),40mm dia,Nos,"1,000.00"
40,Gate Valve (BL Listed),25mm dia,Nos,475.00
41,Gate Valve (BL Listed),20mm dia,Nos,410.00
